entity,vertex_name,vertex_id,vertex_central,edge_type,directed,entity2,vertex_name2,vertex_id2
elect_avail_code,leftschema,vtx_type-bpby,False,,,,,
elect_avail_code_desc,leftschema,vtx_type-bpby,False,,,,,
fireplace_type,leftschema,vtx_type-bpby,False,,,,,
bsmt_1_code,leftschema,vtx_type-bpby,False,,,,,
basement_finish_desc,leftschema,vtx_type-bpby,False,,,,,
acreage,leftschema,vtx_type-bpby,False,,,,,
cal_acreage,leftschema,vtx_type-bpby,False,,,,,
price_per_sqft,leftschema,vtx_type-bpby,False,,,,,
price_per_acre,leftschema,vtx_type-bpby,False,,,,,
land_per_sqft,leftschema,vtx_type-bpby,False,,,,,
land_sqft,leftschema,vtx_type-bpby,False,,,,,
cal_sqft,leftschema,vtx_type-bpby,False,,,,,
imprv_pct,leftschema,vtx_type-bpby,False,,,,,
imprv_per_sqft,leftschema,vtx_type-bpby,False,,,,,
last_sale_date_transfer,leftschema,vtx_type-bpby,False,,,,,
last_sale_doc_number,leftschema,vtx_type-bpby,False,,,,,
last_sale_doc_type,leftschema,vtx_type-bpby,False,,,,,
last_sale_doc_type_desc,leftschema,vtx_type-bpby,False,,,,,
last_sale_sale_code,leftschema,vtx_type-bpby,False,,,,,
last_sale_sale_code_desc,leftschema,vtx_type-bpby,False,,,,,
last_sale_seller_name,leftschema,vtx_type-bpby,False,,,,,
last_sale_seller_1_first_mid,leftschema,vtx_type-bpby,False,,,,,
last_sale_seller_1_last,leftschema,vtx_type-bpby,False,,,,,
last_sale_seller_1_code,leftschema,vtx_type-bpby,False,,,,,
last_sale_seller_1_code_desc,leftschema,vtx_type-bpby,False,,,,,
last_sale_seller_2_first_mid,leftschema,vtx_type-bpby,False,,,,,
last_sale_seller_2_last,leftschema,vtx_type-bpby,False,,,,,
last_sale_buyer_name,leftschema,vtx_type-bpby,False,,,,,
last_sale_buyer_1_code,leftschema,vtx_type-bpby,False,,,,,
last_sale_buyer_1_code_desc,leftschema,vtx_type-bpby,False,,,,,
last_sale_buyer_1_first_mid,leftschema,vtx_type-bpby,False,,,,,
last_sale_buyer_1_last,leftschema,vtx_type-bpby,False,,,,,
ownership_status_code,leftschema,vtx_type-bpby,False,,,,,
ownership_status_desc,leftschema,vtx_type-bpby,False,,,,,
last_sale_buyer_2_first_mid,leftschema,vtx_type-bpby,False,,,,,
last_sale_buyer_2_last,leftschema,vtx_type-bpby,False,,,,,
last_sale_buyer_2_code,leftschema,vtx_type-bpby,False,,,,,
last_sale_buyer_2_code_desc,leftschema,vtx_type-bpby,False,,,,,
last_sale_owner_occupied,leftschema,vtx_type-bpby,False,,,,,
last_sale_page,leftschema,vtx_type-bpby,False,,,,,
last_sale_vesting_code,leftschema,vtx_type-bpby,False,,,,,
last_sale_vesting_code_desc,leftschema,vtx_type-bpby,False,,,,,
prior_market_sale_date_transfer,leftschema,vtx_type-bpby,False,,,,,
prior_market_sale_val_transfer,leftschema,vtx_type-bpby,False,,,,,
date_assr_tape_cut,leftschema,vtx_type-bpby,False,,,,,
last_sale_val_transfer,leftschema,vtx_type-bpby,False,,,,,
last_mrkt_sale_src_code,leftschema,vtx_type-bpby,False,,,,,
last_sale_book,leftschema,vtx_type-bpby,False,,,,,
date_transfer,leftschema,vtx_type-bpby,False,,,,,
doc_type_lps,leftschema,vtx_type-bpby,False,,,,,
doc_type_desc_lps,leftschema,vtx_type-bpby,False,,,,,
val_transfer,leftschema,vtx_type-bpby,False,,,,,
sale_code,leftschema,vtx_type-bpby,False,,,,,
sale_code_desc,leftschema,vtx_type-bpby,False,,,,,
mult_port_code,leftschema,vtx_type-bpby,False,,,,,
seller_name,leftschema,vtx_type-bpby,False,,,,,
last_market_sale_seller_name,leftschema,vtx_type-bpby,False,,,,,
last_market_sale_seller_1_first_mid,leftschema,vtx_type-bpby,False,,,,,
last_market_sale_seller_1_last,leftschema,vtx_type-bpby,False,,,,,
last_market_sale_seller_1_code,leftschema,vtx_type-bpby,False,,,,,
last_market_sale_seller_1_code_desc,leftschema,vtx_type-bpby,False,,,,,
last_market_sale_seller_2_first_mid,leftschema,vtx_type-bpby,False,,,,,
last_market_sale_seller_2_last,leftschema,vtx_type-bpby,False,,,,,
last_market_sale_buyer_name,leftschema,vtx_type-bpby,False,,,,,
last_market_sale_buyer_1_first_mid,leftschema,vtx_type-bpby,False,,,,,
last_market_sale_buyer_1_last,leftschema,vtx_type-bpby,False,,,,,
last_market_sale_book,leftschema,vtx_type-bpby,False,,,,,
last_market_sale_buyer_1_code,leftschema,vtx_type-bpby,False,,,,,
last_market_sale_buyer_1_code_desc,leftschema,vtx_type-bpby,False,,,,,
last_market_sale_buyer_2_first_mid,leftschema,vtx_type-bpby,False,,,,,
last_market_sale_buyer_2_last,leftschema,vtx_type-bpby,False,,,,,
last_market_sale_buyer_2_code,leftschema,vtx_type-bpby,False,,,,,
last_market_sale_buyer_2_code_desc,leftschema,vtx_type-bpby,False,,,,,
last_market_sale_rcdrs_map_ref,leftschema,vtx_type-bpby,False,,,,,
last_market_sale_page,leftschema,vtx_type-bpby,False,,,,,
last_market_sale_loan_due_date,leftschema,vtx_type-bpby,False,,,,,
doc_number,leftschema,vtx_type-bpby,False,,,,,
doc_number_noval,leftschema,vtx_type-bpby,False,,,,,
td_doc_number_1,leftschema,vtx_type-bpby,False,,,,,
lender_code_1,leftschema,vtx_type-bpby,False,,,,,
lender_code_1_desc,leftschema,vtx_type-bpby,False,,,,,
title_company_name,leftschema,vtx_type-bpby,False,,,,,
lndr_first_name_1,leftschema,vtx_type-bpby,False,,,,,
company_flag,leftschema,vtx_type-bpby,False,,,,,
associate_property_count,leftschema,vtx_type-bpby,False,,,,,
loan_value_1,leftschema,vtx_type-bpby,False,,,,,
loan_value_2,leftschema,vtx_type-bpby,False,,,,,
loan_type_1,leftschema,vtx_type-bpby,False,,,,,
loan_type_1_desc,leftschema,vtx_type-bpby,False,,,,,
int_rate_type_1,leftschema,vtx_type-bpby,False,,,,,
int_rate_1_desc,leftschema,vtx_type-bpby,False,,,,,
int_rate_1,leftschema,vtx_type-bpby,False,,,,,
loan_due_date_1,leftschema,vtx_type-bpby,False,,,,,
last_market_sale_buyer_vesting_code,leftschema,vtx_type-bpby,False,,,,,
last_market_sale_buyer_vesting_code_desc,leftschema,vtx_type-bpby,False,,,,,
tran_type,leftschema,vtx_type-bpby,False,,,,,
tran_type_desc,leftschema,vtx_type-bpby,False,,,,,
prior_market_sale_source,leftschema,vtx_type-bpby,False,,,,,
prior_market_sale_book,leftschema,vtx_type-bpby,False,,,,,
prior_market_sale_doc_number,leftschema,vtx_type-bpby,False,,,,,
prior_market_sale_doc_type,leftschema,vtx_type-bpby,False,,,,,
prior_market_sale_doc_type_desc,leftschema,vtx_type-bpby,False,,,,,
prior_sale_date_transfer,leftschema,vtx_type-bpby,False,,,,,
prior_sale_doc_type,leftschema,vtx_type-bpby,False,,,,,
prior_sale_doc_type_desc,leftschema,vtx_type-bpby,False,,,,,
prior_sale_doc_number,leftschema,vtx_type-bpby,False,,,,,
last_market_sale_source,leftschema,vtx_type-bpby,False,,,,,
prior_sale_book,leftschema,vtx_type-bpby,False,,,,,
prior_market_sale_lndr_name,leftschema,vtx_type-bpby,False,,,,,
prior_sale_page,leftschema,vtx_type-bpby,False,,,,,
prior_market_sale_loan_due_date,leftschema,vtx_type-bpby,False,,,,,
prior_sale_val_transfer,leftschema,vtx_type-bpby,False,,,,,
prior_sale_sale_code,leftschema,vtx_type-bpby,False,,,,,
prior_sale_sale_code_desc,leftschema,vtx_type-bpby,False,,,,,
